datetime,pred_OT,true_OT
2019-08-01 00:00:00,613.4217351769177,598.2884673534394
2019-08-01 01:00:00,577.2244928713642,558.8594394372532
2019-08-01 02:00:00,530.1205784901132,522.6711530288908
2019-08-01 03:00:00,486.16325526313193,493.7345281475687
2019-08-01 04:00:00,460.8901061315421,464.60786017208227
2019-08-01 05:00:00,438.8039201540656,430.1299653075918
2019-08-01 06:00:00,424.0872949175111,406.5445631568321
2019-08-01 07:00:00,438.19152400847855,424.38864701962206
2019-08-01 08:00:00,479.9997091390384,532.1333197000457
2019-08-01 09:00:00,589.8782649036737,681.967624539055
2019-08-01 10:00:00,707.5394015314187,715.1752319124009
2019-08-01 11:00:00,748.1238256643362,722.5769180013032
2019-08-01 12:00:00,756.6964106404829,705.2429511011966
2019-08-01 13:00:00,744.994563198518,722.8469912293364
2019-08-01 14:00:00,739.6604764819434,746.9325079044369
2019-08-01 15:00:00,741.148274498523,772.9384631701606
2019-08-01 16:00:00,747.3770360770427,738.8906657616134
2019-08-01 17:00:00,704.7029081441226,668.8946372305807
2019-08-01 18:00:00,635.6352212187245,633.2064621122156
2019-08-01 19:00:00,601.3197014878299,574.5330274472494
2019-08-01 20:00:00,573.1901021453625,581.8547051185893
2019-08-01 21:00:00,586.8464910959655,550.5375327172317
2019-08-01 22:00:00,588.5797000092326,561.7000875698179
2019-08-01 23:00:00,595.4994060758297,565.2008892402038
2019-08-02 00:00:00,579.1794890362905,584.6353386210989
2019-08-02 01:00:00,551.0550683398386,560.609840272446
2019-08-02 02:00:00,510.9273187255704,511.12851013977945
2019-08-02 03:00:00,471.0600612897478,478.68108022563086
2019-08-02 04:00:00,436.24675576184256,466.1682146787673
2019-08-02 05:00:00,426.5287548289516,434.3409253147263
2019-08-02 06:00:00,416.43126005464404,430.6400822702752
2019-08-02 07:00:00,441.26655300224894,446.1536349631838
2019-08-02 08:00:00,497.8927147577275,500.92617412045576
2019-08-02 09:00:00,563.6991853947089,592.4471320748296
2019-08-02 10:00:00,635.2167452210773,639.3978827328135
2019-08-02 11:00:00,664.0533387882381,625.1046053393369
2019-08-02 12:00:00,675.0082340016356,626.2748758398415
2019-08-02 13:00:00,667.335794548464,652.2308115210674
2019-08-02 14:00:00,671.396311377276,663.6034286680243
2019-08-02 15:00:00,671.8806423052671,687.8889793244049
2019-08-02 16:00:00,673.0620537330311,667.6043300771807
2019-08-02 17:00:00,647.4472655165162,634.6367886168405
2019-08-02 18:00:00,593.6607834387443,592.127054047869
2019-08-02 19:00:00,566.5284301561403,569.2418151883005
2019-08-02 20:00:00,557.824700867372,535.5440994253489
2019-08-02 21:00:00,552.8513414070459,512.0187137528407
2019-08-02 22:00:00,549.1273108918916,538.724828613363
2019-08-02 23:00:00,566.5125763283314,577.1236220140363
2019-08-03 00:00:00,576.1936244245225,590.6867251049016
2019-08-03 01:00:00,549.4984693680228,554.8985329958965
2019-08-03 02:00:00,509.6676509703305,497.6754297122403
2019-08-03 03:00:00,460.57397954825774,465.067964943053
2019-08-03 04:00:00,429.2724613695093,454.7155965070332
2019-08-03 05:00:00,412.77104775751775,437.71170267944456
2019-08-03 06:00:00,411.04902412822116,417.7871412125511
2019-08-03 07:00:00,426.4882719373303,443.3429867528614
2019-08-03 08:00:00,481.8509771351665,457.616259269653
2019-08-03 09:00:00,520.1763102777467,454.36551116504495
2019-08-03 10:00:00,516.0177022788329,450.5046291071135
2019-08-03 11:00:00,510.02065831065937,480.0714006732783
2019-08-03 12:00:00,522.4615014961464,506.36742018224805
2019-08-03 13:00:00,534.8970459028588,520.2405963204615
2019-08-03 14:00:00,546.6068479816727,496.84524026718515
2019-08-03 15:00:00,541.7560461139868,530.6129712503382
2019-08-03 16:00:00,549.2603884178368,536.1442383331149
2019-08-03 17:00:00,542.6588234684843,501.9864159509963
2019-08-03 18:00:00,506.0155226837937,484.7524715861186
2019-08-03 19:00:00,492.73373355082106,469.0288713844097
2019-08-03 20:00:00,494.51085006344215,459.6667258623364
2019-08-03 21:00:00,503.22104064645396,469.72903097920835
2019-08-03 22:00:00,518.7583703846834,507.3176379633153
2019-08-03 23:00:00,542.1475476867248,547.0667383618733
2019-08-04 00:00:00,549.98885129068,551.3577215721406
2019-08-04 01:00:00,524.6112809166818,545.5964021038783
2019-08-04 02:00:00,509.9937929293314,511.9787049235687
2019-08-04 03:00:00,482.38207851857067,490.663823933126
2019-08-04 04:00:00,458.4690133432602,462.2073082374107
2019-08-04 05:00:00,439.224296097503,449.4343829900342
2019-08-04 06:00:00,427.5619704850866,424.23861783726943
2019-08-04 07:00:00,426.4028483046268,413.2160934250859
2019-08-04 08:00:00,432.72118826111864,429.999933609139
2019-08-04 09:00:00,449.93035016189157,450.7146803123064
2019-08-04 10:00:00,468.5775270638719,440.29229480788894
2019-08-04 11:00:00,454.27264299766966,433.3907084577572
2019-08-04 12:00:00,458.88833581481003,465.368034396936
2019-08-04 13:00:00,461.36968719505785,504.5370007644131
2019-08-04 14:00:00,491.20774810241716,496.625188471846
2019-08-04 15:00:00,505.4623464438553,503.3267232828329
2019-08-04 16:00:00,523.6027312882851,502.3965103784507
2019-08-04 17:00:00,506.17542862714083,490.2737343823566
2019-08-04 18:00:00,474.84050245218407,448.094078430492
2019-08-04 19:00:00,458.87605639863347,469.57899810046314
2019-08-04 20:00:00,482.0593206069839,454.6755867536631
2019-08-04 21:00:00,493.4592966036792,480.36146399242614
2019-08-04 22:00:00,521.0451399627182,521.810955806759
2019-08-04 23:00:00,556.3534552968005,580.0442859569487
