,GHI_MAE_TRAIN,GHI_MAPE_TRAIN,GHI_RMSE_TRAIN
182,50.1178,1395302267355136.5,6979.2279
183,43.4349,2818098230984704.5,5631.6174
184,41.5986,4811399532380160.0,5984.5219
185,46.9856,4859733662673579.0,7186.9861
186,47.0349,0.4606,7239.105
187,45.6555,1.0823004411221334e+16,6578.8652
188,48.8777,2.8193299560224084e+16,6242.5759
189,50.4126,2.7496661412478976e+16,6667.9193
190,50.0094,1.393426189848849e+16,6654.8983
191,49.929,1.4055934742844758e+16,6715.3131
192,47.9748,1.2567278676956502e+16,6393.2202
193,52.1453,1.012777197048081e+16,7617.0145
194,53.0142,1.7303664458028374e+16,8147.7173
195,52.4226,2.3088774952342868e+16,7620.7345
196,53.0301,3.180454188556834e+16,7173.6859
197,57.7352,3.9379357556976296e+16,6994.6697
198,62.6816,6.1257845879166296e+16,8192.1886
199,67.6962,8.088454353684616e+16,9360.6461
200,64.2551,6.485712950560905e+16,8764.1494
201,59.8652,3.975407126288794e+16,7854.9728
202,45.9458,2.5264615137651372e+16,6698.9292
203,43.1156,1.158054179504128e+16,6442.082
204,28.208,3623996051772757.5,1881.7175
205,34.8172,1.1819437897635158e+16,3310.6679
206,37.4545,1.4996184688317782e+16,3273.6889
207,37.2949,7114791566966784.0,3276.6164
208,37.1639,1.0335651250918742e+16,3241.2625
209,40.3418,7135285719247531.0,3870.1692
210,40.7595,6253917627919019.0,4287.709
211,54.1234,2.959135865971234e+16,6993.2214
212,53.1156,1.7465541775414614e+16,7159.4187
213,51.1156,1.5705439839365802e+16,7326.0255
214,66.1305,2.2952205013920428e+16,10489.544
215,59.9344,1.7968828906471424e+16,8304.3592
216,49.2331,1.2684719188956502e+16,5929.4142
217,42.8731,4844067769461419.0,5065.1381
218,38.2024,736977017460053.5,4277.513
219,42.0149,0.1846,4894.6345
220,55.0623,1.6876703190788778e+16,7364.8413
221,67.8962,3.1536473112401236e+16,10419.093
222,83.0172,4.510395625705745e+16,14816.3429
223,82.4215,4.3604243871607464e+16,14597.5719
224,76.2148,3.685797481519514e+16,12290.116
225,77.3164,4.2957955088602456e+16,12764.503
226,80.0525,5.2786894687873704e+16,13905.0483
227,79.0001,4.123983824744175e+16,13791.844
228,82.3761,3.211406317767885e+16,15718.4061
229,96.7749,3.4312208291375788e+16,22232.7112
230,100.4766,2.683221261296162e+16,26587.4031
231,113.2112,2.1189533255772844e+16,32208.1378
232,116.4251,1.9558402029344084e+16,33230.6928
233,110.0904,1.684284596359441e+16,30006.2601
234,103.6079,1.7841948414268758e+16,27500.8941
235,113.9944,3.5819234111346004e+16,30756.7039
236,99.1669,2.2294669859050836e+16,25707.5842
237,92.8663,1.4130264878525098e+16,22187.7529
238,89.2083,1.0082548112337578e+16,20138.954
239,69.2747,0.1788,13691.991
240,55.0094,0.1291,9002.6562
241,54.4778,0.1376,8534.3858
242,54.4648,0.1353,8972.1526
243,57.0173,0.1315,9344.387
244,56.8645,0.1225,9433.0787
245,59.8512,0.144,10376.1745
246,69.7289,0.1208,14910.8223
247,79.8551,0.1688,18832.2214
248,81.1965,1661948332605440.0,19121.5709
249,83.909,1115892633042944.2,19968.1112
250,86.5586,1.201766495490321e+16,20145.2693
251,87.9967,1.5185871918945622e+16,20110.8045
252,99.2729,1.3468596533460992e+16,25859.7962
253,103.4097,1.1961085203229354e+16,28418.3676
254,90.1695,7222528674103296.0,21773.6606
255,80.391,2077381012837717.2,16784.5879
256,70.0931,1448199531965098.8,12912.1522
257,69.0214,0.1637,13302.1169
258,71.2405,1522950127048021.2,14428.2599
259,78.3876,1.6608262008165718e+16,14016.9359
260,60.2128,8277226613112832.0,9462.2595
261,66.7018,1.0421456823386112e+16,10070.6859
262,62.0839,1.0536952788942848e+16,9485.8547
263,45.249,0.1713,5684.1763
264,31.2913,0.1039,3492.2135
265,34.4795,0.1166,3782.8159
266,37.3418,0.1261,4369.4188
267,36.2464,0.1096,4088.3402
268,37.5728,0.1165,4847.6665
269,46.9035,0.128,6341.8466
270,65.7703,3334579680531797.5,10652.4013
271,66.6018,720653994251605.5,10852.4152
272,53.4422,0.1398,8015.2433
273,49.6643,0.099,7448.8435
274,44.8334,0.1123,6648.0131
275,48.399,688500974288896.1,7177.3851
276,58.7982,0.1808,9419.5924
277,59.1319,0.1992,8991.6725
278,50.3034,0.1638,6969.5796
279,49.75,0.1513,7176.9784
280,62.6166,6071614161900885.0,12598.3869
281,75.0331,1.8198397771754156e+16,16281.5893
282,87.6899,4.2063123706456744e+16,19811.1072
283,88.3098,4.284430739063876e+16,20162.0623
284,81.1767,3.601374960104243e+16,18612.3721
285,82.1796,2.6563741007653548e+16,17882.003
286,86.7346,2.3006399269175296e+16,20913.4504
287,88.9543,2.5402626306037076e+16,21543.2552
288,82.1233,2.1525880734657196e+16,18772.8685
289,73.988,1.3586453299374762e+16,16021.6027
290,76.3529,1.8007134288128682e+16,16564.0743
291,78.0134,1.8129095611121664e+16,16711.0942
292,82.556,2.261465637584896e+16,18779.0986
293,82.6426,2.224002651127808e+16,18845.7482
294,76.2406,1.6961239600420182e+16,16375.1754
295,70.6901,7495340701777920.0,13995.9014
296,59.925,0.3349,10402.7831
297,57.549,0.5119,10020.6405
298,50.4166,0.4149,7915.2244
299,53.5903,1894501484331008.5,7738.5432
300,52.2014,7132705159730517.0,6551.292
301,62.8953,4942483365909845.0,9647.1885
302,60.4133,0.4546,9106.1365
303,62.4154,0.4453,10408.0114
304,59.5193,0.6011,9620.1659
305,45.3796,0.5119,5731.6425
306,41.0972,0.4661,4717.0945
307,42.7667,417017433686016.5,4795.5919
308,52.7932,0.6048,6887.6257
309,62.6731,1043047661262166.0,8812.9639
310,53.4547,0.6008,7034.7083
311,43.4872,2386080713495893.5,5067.3577
312,39.6465,0.4377,4243.2539
313,40.1373,0.467,4508.4894
314,49.7003,0.5293,6474.049
315,56.7335,0.584,7947.3897
316,55.0915,0.5982,7330.1134
317,45.2228,7027641669735765.0,5086.6533
318,48.3953,2136234054909952.8,6782.5477
319,49.6115,0.5356,7000.4789
320,46.782,0.4819,6209.3423
321,44.4302,918526000889856.4,4973.7002
322,56.9294,4396910134340266.5,7429.8521
323,53.3685,5146905197674496.0,9175.652
324,66.0436,1.105002457132783e+16,12375.8613
325,46.8542,7212484535167659.0,8023.318
326,48.2729,2826074522124288.0,8420.2809
327,57.798,5880737941159936.0,9909.0676
328,59.5176,701312056426496.4,9933.9717
329,43.3403,0.1841,7432.632
330,43.2834,0.1983,7857.7613
331,41.3652,0.2181,7443.1742
332,41.7077,5745065650902357.0,6902.0933
333,43.9746,3318802833997824.0,8607.3759
334,47.0644,1855760521407146.8,10325.5315
335,56.1075,6020977213308928.0,12964.6395
336,63.598,1.070346670248209e+16,15312.8613
337,53.7547,777178716656981.5,11829.5549
338,44.0144,1805307003710122.8,8577.0271
339,43.7892,3304139457735338.5,8401.314
340,48.0286,3274979135193088.0,9339.0464
341,54.2889,1.2040595785296554e+16,10615.1426
342,44.5907,6477557290849621.0,8288.5477
343,40.8577,460151790239744.8,6458.5891
344,47.6294,4146003155703126.5,7235.58
345,58.2512,959937180773036.5,10471.2003
346,63.2537,1240689260800684.2,13029.7112
347,70.2817,684586648469505.6,14826.3598
348,80.4172,2411566512559447.0,19143.5523
349,82.9381,3431757610571094.5,21340.7647
350,87.7775,993145688948737.9,22128.6598
351,99.0826,2.0033,25881.8526
352,101.1554,1.804,26531.6199
353,96.9551,455032949790038.75,23642.8673
354,91.7656,6076804629878103.0,20492.0906
355,86.1171,1.0377890106791254e+16,17811.2405
356,87.3399,9261479751232170.0,17982.865
357,95.2579,6924930390163457.0,20674.1899
358,92.092,4293922321509036.0,19491.6805
359,92.7164,3192371165877590.5,19607.6687
360,99.5313,1.7946,23266.9467
361,105.8773,1.8982,27595.2524
362,109.6702,1.8207,30432.946
363,108.0471,2843996167951703.0,30702.7065
364,116.1452,2.1124,33848.3592
365,120.6698,2043299373602135.8,34796.2129
366,139.6058,6126682800914435.0,42001.5587
367,144.5571,1.0588061468109484e+16,45940.2284
368,122.5155,3314655685159596.0,37641.8143
369,111.2744,7129851869790209.0,28909.7087
370,106.7066,1.0059445483252394e+16,25930.3145
371,99.9381,7611563769506475.0,22962.7034
372,90.5972,1.331123662688529e+16,19534.5802
373,91.0064,2.22301601660928e+16,19099.0353
374,83.9447,1.1958106643409578e+16,17124.8326
375,72.5486,6017561282652843.0,14202.3221
376,58.6257,2434911807296853.5,9516.4672
377,58.2708,0.1849,9136.1813
378,61.4659,0.2242,9585.7649
379,60.4882,2480556930149034.5,9867.9823
380,62.3997,9540638487871488.0,10702.7159
381,63.9497,1.0136577369265494e+16,11836.3455
382,66.2959,9312600062601898.0,13552.144
383,65.5741,7012631474864128.0,13873.4654
384,63.7672,5575433054235307.0,12930.4558
385,62.6235,8392272322931371.0,12108.5162
386,63.8924,1.2662021718452906e+16,12699.2767
387,63.8512,9555318507132246.0,13415.694
388,66.1713,8307175062153899.0,13728.6683
389,67.4056,9834756103471104.0,14037.4933
390,63.1386,1.1277138862800896e+16,11341.9399
391,60.6851,1.8939730601880236e+16,8534.9212
392,58.897,1.7905271980425216e+16,7941.3137
393,57.7982,1.0527425835652438e+16,7794.121
394,62.046,6557528150245376.0,10149.3075
395,64.6454,3487264336248832.0,11714.9134
396,72.0928,0.2431,15843.7593
397,73.6042,0.2471,16020.3612
398,67.1958,0.2076,13565.427
399,66.0051,0.1951,13170.9858
400,84.6035,1656800098473301.8,18933.655
401,87.7446,0.2257,20635.1987
402,90.0875,440713752521386.94,21014.4883
403,88.4063,6105827155552939.0,20204.176
404,86.5031,9889199422089898.0,19704.125
405,87.2726,1.1839564830212096e+16,18951.2965
406,88.3027,1.2345803319629142e+16,19844.1251
407,83.7425,7854865971675136.0,19148.7551
408,81.1271,1.3880913393876992e+16,18380.319
409,77.9627,9970894710854998.0,17359.6175
410,70.1649,6305698469467477.0,15278.4545
411,70.4738,6731247408294571.0,15129.9529
412,66.8913,356510135746560.2,15097.4877
413,73.8378,1077127958320469.4,16642.1246
414,79.24,2216406419854677.2,17444.469
415,78.6345,3642809082271062.0,16767.4692
416,74.3611,1.224,16496.7697
417,69.9311,1.0338,15475.7059
418,65.566,1671067800873643.8,14069.357
419,78.4695,4548542523069783.0,19726.6358
420,77.2183,7127910544572416.0,19378.2961
421,81.5412,2.2135591786599764e+16,18028.5389
422,87.51,2.2264975528908116e+16,20084.4735
423,103.3913,1.0488451020707158e+16,24436.6365
424,111.2747,1601869793198082.2,27019.9229
425,120.8865,2.7178,32992.6479
426,119.6241,2.6431,33382.8944
427,127.9438,3487060325302274.5,36952.2895
428,135.3406,7322525534344536.0,41162.5605
429,139.7736,7302994886393860.0,44193.2456
430,138.632,3885393845944323.5,44090.7557
431,127.2533,3.033,37557.8229
432,117.5187,2461184301203458.5,31220.1613
433,111.6923,190807143350274.53,27218.5544
434,110.7845,8562278581753174.0,26024.4114
435,111.9503,8842434287676075.0,26371.8531
436,104.4666,1.6162996306138454e+16,22725.359
437,96.2329,1.6564710144999428e+16,18230.0645
438,93.4588,2.1357786094196056e+16,16662.4614
439,91.9388,2.064144532085146e+16,16292.9367
440,86.8466,2.505739573867315e+16,15306.5844
441,84.6316,2.2314101991189164e+16,15047.3925
442,82.8945,2.4134896199576236e+16,14473.6196
443,86.3562,3.263922225073357e+16,14732.5166
444,77.9186,2.965597644268066e+16,13848.1961
445,80.3909,1.9117574460189356e+16,19254.3295
446,87.5703,1.3756561071538176e+16,24004.9789
447,92.5913,1.8485363506238804e+16,25413.9203
448,94.6202,2.013238324835123e+16,27313.3936
449,90.3067,1.1018573454158506e+16,26873.9402
450,84.416,254288840359936.22,25931.5488
451,86.1554,1.5831821578491222e+16,25077.3462
452,85.486,3.53798333661184e+16,24206.0923
453,84.0041,3.4646478616701612e+16,22699.4943
454,77.1376,1.888650629340638e+16,21295.1119
455,75.7906,1.2580969958954326e+16,21349.041
456,74.357,9264893713361578.0,21645.6507
457,80.4752,8252115370988885.0,24107.507
458,83.942,1.8315859400676692e+16,25813.6284
459,87.3463,2.0229315649426772e+16,27095.5676
460,88.6734,2.5010315403285844e+16,27447.4149
461,91.3628,2.7088834694305108e+16,28569.7091
462,89.528,3.1116728463960748e+16,27304.5614
463,86.7225,2.6308364041803092e+16,24398.3263
464,93.4945,2.9124614184151724e+16,22974.8236
465,90.1735,2.155619890879966e+16,20452.5211
466,85.6661,1.351827785182959e+16,18478.4341
467,74.9098,68051911311360.52,15384.478
468,70.5786,0.4607,14550.9287
469,65.3763,0.3941,11758.4353
470,66.0655,0.4338,13508.3698
471,81.9707,0.5823,19226.9868
472,82.2313,0.5216,20427.9542
473,97.0065,0.6831,25183.6905
474,110.2402,0.7827,29872.9346
475,115.3178,0.9683,31427.4162
476,104.2826,9547329331090774.0,23819.7535
477,82.5042,7339683212864171.0,15426.5879
478,62.6253,9398319735723350.0,9456.3202
479,54.3876,8806965731917824.0,6847.989
480,49.0749,8993016556901717.0,5238.5673
481,49.1321,4736190360059904.0,5186.2862
482,53.143,7747443649850027.0,6362.7748
483,55.182,2884657518127787.5,7591.8877
484,56.3572,2718990607930710.0,8477.7031
485,57.5699,1.1408315396041386e+16,9044.0028
486,54.1152,1.6209664704948906e+16,7592.1191
487,52.0664,1.554482094739729e+16,6214.2907
488,50.5384,3.007154101420032e+16,5891.2037
489,49.0572,2.916745004047838e+16,5376.2126
490,55.6301,2.282062189044258e+16,7817.5296
491,67.2509,1.307712968126191e+16,11665.3753
492,83.269,8942057485762560.0,17339.0927
493,88.8643,5938369601907372.0,19129.9529
494,91.393,2909017946281302.5,23947.5936
495,89.9836,800589599124139.5,23723.9494
496,100.0333,0.8105,27778.6144
497,99.8438,0.7065,27767.6895
498,91.1125,1783313728886102.0,24470.2175
499,90.1944,8703431250280448.0,22824.2391
500,91.9277,2.4664264362950656e+16,23448.5947
501,94.4787,2.535561377297203e+16,23389.5889
502,99.1138,1.8325379866776916e+16,24801.6501
503,104.0872,1.0457125453037568e+16,27324.4282
504,103.7774,6594128608843093.0,28175.9876
505,95.9986,0.6639,24820.8601
506,95.2743,8975961957597184.0,24835.1359
507,98.2403,1.010430901153519e+16,26746.305
508,100.0958,9169189672932694.0,27413.4019
509,99.3172,9581181547489962.0,26378.9366
510,99.8946,8208263754896725.0,26700.8158
511,99.066,1.431676864360175e+16,26847.0121
512,106.5888,1.095895515852527e+16,31115.5851
513,131.1248,3.0976241157450412e+16,40052.8152
514,148.4577,5.988950930672845e+16,48557.8264
515,156.2416,5.7109177975876264e+16,52168.2584
516,141.5819,2.8946164556496896e+16,44837.9011
517,145.0627,1.524043661512977e+16,49922.912
518,141.8833,1.7744604412160682e+16,47415.1577
519,124.7418,1.5866859026907136e+16,39139.5028
520,111.7317,1.2459926327306922e+16,31691.1132
521,103.1074,3134229835677696.0,26684.7146
522,91.4429,0.1863,22295.7396
523,88.6159,5871130815146667.0,20625.0767
524,84.3307,6505120959299584.0,19022.8718
525,84.6656,0.1695,18675.3765
526,78.6321,5002843046718123.0,14456.0941
527,64.3458,0.1643,11041.103
528,61.3166,0.1728,8550.7383
529,74.5497,0.1891,12198.8684
530,78.82,0.1842,14413.7045
531,87.502,0.1947,17522.1248
532,92.0582,0.1736,20076.9604
533,91.9145,0.1646,21059.5959
534,95.5693,0.153,24257.0136
535,99.9328,0.2053,26559.3467
536,90.3685,0.1743,21915.3022
537,90.5762,0.1749,21462.6637
538,85.7966,2379148815237120.0,19958.135
539,81.3837,522842564547925.4,19306.7156
540,73.71,0.1565,16340.1258
541,71.5328,0.1555,14487.4825
542,72.7365,0.1708,14566.7201
543,93.2364,3617882881654784.0,22964.1659
544,86.7787,5726828146021717.0,19186.7425
545,78.8929,6489476540923904.0,16310.24
546,70.5747,1.5529164359947606e+16,13212.3809
547,69.141,2.7070648080313004e+16,12227.2582
548,52.8464,1.6412002045919232e+16,7685.6664
549,46.3492,5378501645434880.0,6345.2069
550,43.4512,3931872908279808.0,6175.1653
551,53.4331,0.176,8476.6981
552,49.1221,0.122,8442.6326
553,60.6394,0.1328,10141.8704
554,66.9,0.1719,11508.9467
555,58.8226,0.1347,10184.334
556,61.5855,0.1974,10333.4141
557,65.0804,0.1944,10727.9219
558,78.2358,0.4844,13595.7958
559,73.1927,0.3102,13831.9114
560,66.6832,0.3575,12164.7337
561,71.8961,0.5553,11544.8275
562,67.1125,0.4246,10154.1611
563,66.9009,0.6132,9830.5102
564,57.1397,0.4121,8693.2257
565,58.0155,0.2779,8840.057
566,49.3273,0.1313,7258.8208
567,50.1691,0.2192,5841.3664
568,40.6854,0.0834,4634.8918
569,40.3719,0.1535,4340.5349
570,44.179,0.2915,5049.2859
571,46.5795,0.1633,5324.913
572,40.7233,0.1375,4094.4067
573,50.916,0.1894,6020.7707
574,49.115,859620792860672.0,6267.8832
575,42.7951,0.1425,4643.5085
576,28.5318,0.0911,2622.3001
577,36.5074,0.1157,3158.4384
578,44.4543,0.1283,4867.43
579,45.1799,0.1399,4918.0884
580,37.4262,0.0797,4130.8573
581,40.0657,0.0872,4261.0604
582,44.963,0.0833,5814.7488
583,47.9396,0.1571,6133.1846
584,45.3452,0.1284,5245.6284
585,46.5189,0.1937,5245.3297
586,47.1835,0.2111,5191.1566
587,40.6977,0.1897,4244.1362
588,36.8483,0.1504,3738.3471
589,35.2045,0.1325,3761.2911
590,42.5187,0.1351,6511.8092
591,59.1039,0.4133,12241.5762
592,58.0697,0.3915,12205.2975
593,61.2052,0.3614,13095.5819
594,68.0709,0.3845,13386.3772
595,80.2372,8266265140745557.0,15586.5897
596,69.7128,1940532975282858.8,15773.7731
597,67.004,2338851105625429.5,12712.7603
598,72.9676,6417880151927467.0,12207.0429
599,76.9037,0.4648,13844.564
600,76.0945,0.4449,14423.8214
601,82.3596,0.5091,17100.0659
602,82.0641,0.4896,17899.2777
603,75.3616,0.4556,15769.9884
604,73.0265,0.447,13647.0613
605,81.5028,8040823023206400.0,15037.7401
606,93.524,1.5255735288638122e+16,19394.7979
607,89.3231,1.254454434131695e+16,17824.9476
608,77.5442,0.5886,15590.4317
609,75.0757,0.8482,16102.9856
610,79.7163,0.9668,17762.2871
611,83.8157,214564732578475.66,19994.1345
612,95.3557,1.2761,25547.1165
613,91.4677,1454369789356715.8,21502.1025
614,80.8602,4378574561039701.5,17443.2233
615,75.3344,2780202481833302.0,15141.6043
616,89.7193,1.1572,21754.0178
617,85.3913,1.1109,21294.7933
618,86.7675,1.139,21840.2111
619,92.4866,3392414278483969.5,23050.866
620,91.25,9658386447947094.0,22462.0223
621,92.0881,9894520886569642.0,22476.283
622,88.6986,4866228369053015.0,21311.9375
623,89.5662,1.254,21902.2317
624,90.3641,1.2016,23047.41
625,96.77,1.3942,26015.4483
626,106.2269,1.555,29343.5885
627,111.2257,1.585,32332.7443
628,113.1838,1.695,32376.8543
629,115.7766,4391502412600662.5,33316.5096
630,111.1574,1.618,32696.045
