,TEMPERATURE_MAE_TRAIN,TEMPERATURE_MAPE_TRAIN,TEMPERATURE_RMSE_TRAIN
198,1.402,1.0,2.0167
199,1.3766,1.0,1.9463
200,1.3479,1.0,1.8782
201,1.314,1.0,1.8104
202,1.2751,1.0,1.7436
203,1.2345,1.0,1.6821
204,1.1973,1.0,1.6348
205,1.1635,1.0,1.5945
206,1.1347,1.0,1.5591
207,1.1077,1.0,1.5225
208,1.084,1.0,1.4847
209,1.0637,1.0,1.4457
210,1.0434,1.0,1.4001
211,1.0248,1.0,1.3515
212,1.0062,1.0,1.2999
213,0.9875,1.0,1.2483
214,0.9689,1.0,1.1967
215,0.952,1.0,1.1504
216,0.9351,1.0,1.1042
217,0.9199,1.0,1.062
218,0.9047,1.0,1.0198
219,0.8894,1.0,0.9775
220,0.8759,1.0,0.9394
221,0.8641,1.0,0.9066
222,0.8522,1.0,0.8757
223,0.8404,1.0,0.8534
224,0.8285,1.0,0.8369
225,0.8167,1.0,0.8262
226,0.8032,1.0,0.82
227,0.7959,1.0,0.8173
228,0.7987,1.0,0.8186
229,0.8049,1.0,0.8219
230,0.8029,0.99,0.8206
231,0.7979,0.9909,0.8179
232,0.7807,0.9979,0.808
233,0.7589,0.9986,0.7882
234,0.7407,0.9997,0.7641
235,0.7222,1.0,0.7322
236,0.7019,1.0,0.6948
237,0.6816,1.0,0.6575
238,0.6594,0.9936,0.6191
239,0.6311,0.9585,0.5796
240,0.6053,0.9276,0.5427
241,0.5871,0.9426,0.5066
242,0.5801,0.9781,0.4742
243,0.5699,1.0,0.4433
244,0.553,1.0,0.408
245,0.5361,1.0,0.3728
246,0.5208,1.0,0.3429
247,0.509,1.0,0.3274
248,0.4988,1.0,0.3186
249,0.4887,1.0,0.3147
250,0.4932,1.0,0.3159
251,0.5051,1.0,0.3215
252,0.5101,0.981,0.3254
253,0.5014,0.9156,0.3229
254,0.5137,0.9338,0.3332
255,0.5303,1.1178,0.3435
256,0.5261,0.9528,0.3447
257,0.4939,0.9388,0.3287
258,0.5063,1.2963,0.3328
259,0.5135,1.3928,0.3292
260,0.4804,1.1996,0.3052
261,0.445,1.1264,0.28
262,0.4221,0.968,0.2651
263,0.3977,0.7919,0.2542
264,0.398,0.7479,0.2539
265,0.4178,0.851,0.2584
266,0.4428,0.987,0.2741
267,0.4604,1.0251,0.2914
268,0.4741,1.0624,0.3162
269,0.4899,1.0283,0.3549
270,0.4958,0.9528,0.3914
271,0.5076,0.9247,0.4166
272,0.5312,1.1283,0.4388
273,0.6601,1.476,0.5368
274,0.6206,1.6351,0.4942
275,0.5887,1.4634,0.4724
276,0.5591,1.1207,0.4525
277,0.5511,1.1923,0.4411
278,0.5677,1.218,0.4497
279,0.583,1.3832,0.4608
280,0.5627,1.3576,0.4482
281,0.5488,1.1666,0.4449
282,0.545,0.9805,0.4484
283,0.5734,0.9994,0.4824
284,0.6134,1.0574,0.5343
285,0.6417,1.0404,0.584
286,0.6515,0.8967,0.6231
287,0.6853,0.8649,0.6751
288,0.7288,0.9327,0.7303
289,0.7626,0.9944,0.7846
290,0.7828,0.9994,0.8266
291,0.7973,0.9969,0.861
292,0.8018,0.9869,0.8763
293,0.798,0.9796,0.8682
294,0.7928,0.9843,0.8554
295,0.7848,0.9724,0.8476
296,0.7715,0.9815,0.8379
297,0.7737,1.0192,0.8517
298,0.7749,1.0263,0.8557
299,0.7719,1.0116,0.8479
300,0.7644,0.9309,0.833
301,0.7752,0.9455,0.8383
302,0.7821,0.9558,0.8422
303,0.7889,0.996,0.845
304,0.7881,1.0,0.8457
305,0.7814,1.0,0.842
306,0.7678,1.0,0.8292
307,0.7475,0.9998,0.8001
308,0.7138,1.0779,0.7545
309,0.6901,1.1483,0.7091
310,0.664,1.1385,0.6614
311,0.6441,1.2333,0.6123
312,0.6208,1.2728,0.564
313,0.5868,1.135,0.506
314,0.5525,1.0147,0.4473
315,0.5313,0.9792,0.3961
316,0.5117,0.9933,0.3514
317,0.495,0.9986,0.3163
318,0.4716,0.9855,0.2772
319,0.441,1.0042,0.2448
320,0.4195,1.113,0.2323
321,0.4248,1.2756,0.2353
322,0.4114,1.2043,0.2304
323,0.416,1.2544,0.233
324,0.411,1.0672,0.2279
325,0.4105,1.0081,0.2283
326,0.4083,1.0248,0.2285
327,0.4114,1.0445,0.2288
328,0.404,0.9516,0.2264
329,0.3851,0.8932,0.2212
330,0.3736,0.8752,0.2179
331,0.3679,0.9098,0.2122
332,0.3563,0.9071,0.2024
333,0.3495,0.9107,0.1955
334,0.3463,0.916,0.1904
335,0.3383,0.879,0.1849
336,0.3296,0.8732,0.178
337,0.3208,0.8336,0.1748
338,0.3146,0.8116,0.1695
339,0.3116,0.7996,0.1674
340,0.3176,0.927,0.1638
341,0.3309,1.3659,0.1623
342,0.3427,1.8652,0.1653
343,0.3494,2.1846,0.1745
344,0.4046,2.9688,0.1993
345,0.464,3.7558,0.2361
346,0.4657,4.1572,0.2342
347,0.4457,4.0514,0.2212
348,0.4195,3.4617,0.2069
349,0.4056,3.0756,0.1985
350,0.4002,3.129,0.1963
351,0.3823,3.0101,0.1913
352,0.3651,1.9657,0.1862
353,0.3623,1.1593,0.1838
354,0.3635,0.9081,0.1838
355,0.36,0.9467,0.1813
356,0.3529,0.9268,0.1782
357,0.3346,0.8374,0.1718
358,0.3262,0.8241,0.1681
359,0.3242,0.8339,0.166
360,0.3236,0.8296,0.1661
361,0.3226,0.8172,0.1641
362,0.326,0.8532,0.1643
363,0.3523,1.0,0.1695
364,0.3506,1.0,0.1674
365,0.3489,1.0,0.1652
366,0.3455,1.0,0.1609
367,0.3007,0.8045,0.1432
368,0.307,0.9419,0.1397
369,0.3242,1.0,0.1482
370,0.3541,1.0,0.1737
371,0.3943,0.997,0.2209
372,0.4321,0.9513,0.2754
373,0.4844,1.0,0.3382
374,0.5216,1.0,0.3815
375,0.5486,1.0,0.4108
376,0.5672,1.0,0.4287
377,0.5774,1.0,0.4356
378,0.5825,1.0,0.4372
379,0.5808,1.0,0.437
380,0.5736,0.9953,0.4239
381,0.5328,0.9548,0.3551
382,0.4717,1.0011,0.2795
383,0.4424,1.2405,0.2397
384,0.4504,1.4103,0.2471
385,0.4757,1.5706,0.2718
386,0.4933,1.6769,0.2921
387,0.4777,1.5672,0.2746
388,0.4389,1.3987,0.2311
389,0.4396,1.2781,0.2349
390,0.4232,1.2984,0.219
391,0.4166,1.1648,0.2152
392,0.4086,1.0214,0.2117
393,0.4563,0.9103,0.2733
394,0.4324,0.8985,0.2419
395,0.3626,0.939,0.1591
396,0.338,0.9012,0.1424
397,0.3298,0.9198,0.1407
398,0.3464,0.9334,0.1574
399,0.3498,1.1458,0.1633
400,0.3699,1.1319,0.1823
401,0.3958,0.9675,0.2068
402,0.383,1.1287,0.1806
403,0.3444,0.8408,0.149
404,0.3148,0.8201,0.1252
405,0.2761,0.7292,0.1028
406,0.2649,0.9957,0.0971
407,0.266,1.3511,0.0977
408,0.2666,1.1353,0.0969
409,0.2551,1.3754,0.0907
410,0.2427,1.2712,0.0836
411,0.2384,1.1765,0.0809
412,0.2377,0.9696,0.078
413,0.2305,1.0876,0.0732
414,0.2765,0.8162,0.1184
415,0.1996,1.0091,0.0558
416,0.2131,1.308,0.0587
417,0.2082,1.2178,0.0588
418,0.2323,1.2226,0.0782
419,0.2682,1.3895,0.1186
420,0.2933,1.1005,0.1846
421,0.3345,0.8835,0.2677
422,0.3796,1.1478,0.3597
423,0.4006,0.8789,0.3915
424,0.4355,0.9987,0.4092
425,0.4801,1.009,0.5129
426,0.5347,1.0282,0.6213
427,0.5966,1.0302,0.7387
428,0.6781,1.0402,0.9023
429,0.7466,1.0374,1.0298
430,0.798,1.0237,1.0974
431,0.8386,1.0046,1.1333
432,0.8968,1.0,1.2249
433,0.9611,1.0,1.3379
434,1.0203,1.0,1.4493
435,1.0778,1.0,1.5597
436,1.1404,1.0,1.6825
437,1.2098,1.0,1.8129
438,1.2792,1.0,1.9546
439,1.3468,1.0,2.0681
440,1.4015,1.0,2.1591
441,1.4545,1.0,2.2366
442,1.4917,1.0,2.2929
443,1.5069,1.0,2.3203
444,1.5074,1.0017,2.3224
445,1.4934,1.0,2.2908
446,1.4798,1.0,2.2604
447,1.4697,1.0,2.2376
448,1.4612,1.0,2.2169
449,1.4545,1.0,2.1984
450,1.4528,1.0,2.1931
451,1.4561,1.0,2.2046
452,1.4595,1.0,2.2163
453,1.4629,1.0,2.228
454,1.468,1.0,2.2454
455,1.4748,1.0,2.2683
456,1.4815,1.0,2.2912
457,1.4849,1.0,2.3026
458,1.4866,1.0,2.3083
459,1.4866,1.0,2.3083
460,1.4832,1.0,2.2968
461,1.4764,1.0,2.2739
462,1.4663,1.0,2.2388
463,1.4511,1.0,2.1941
464,1.4308,1.0,2.1435
465,1.4037,1.0,2.0871
466,1.3733,1.0,2.0361
467,1.3394,1.0,1.9903
468,1.3056,1.0,1.95
469,1.2751,1.0,1.9138
470,1.2498,1.0,1.8805
471,1.2328,1.0,1.8535
472,1.2244,1.0,1.8362
473,1.2193,1.0,1.8238
474,1.2092,1.0,1.7952
475,1.1939,1.0,1.7481
476,1.177,1.0,1.695
477,1.1584,1.0,1.6373
478,1.1381,1.0,1.5752
479,1.1161,1.0,1.5089
480,1.0924,1.0,1.4384
481,1.0721,1.0,1.3779
482,1.0569,1.0,1.332
483,1.0468,1.0,1.301
484,1.0417,1.0,1.2848
485,1.0434,1.0,1.2904
486,1.0552,1.0,1.3319
487,1.0789,1.0,1.4062
488,1.1144,1.0,1.5076
489,1.1601,1.0,1.6232
490,1.2109,1.0,1.733
491,1.2616,1.0,1.8223
492,1.3056,1.0,1.8853
493,1.3394,1.0,1.9283
494,1.3648,1.0,1.9616
495,1.3766,1.0,1.9791
496,1.3749,1.0,1.9761
497,1.3665,1.0,1.9581
498,1.358,1.0,1.9381
499,1.353,1.0,1.9248
500,1.3513,1.0,1.9203
501,1.3513,1.0,1.9203
502,1.353,1.0,1.9247
503,1.3563,1.0,1.9334
504,1.3614,1.0,1.9462
505,1.3648,1.0,1.9549
506,1.3665,1.0,1.9595
507,1.3648,1.0,1.9548
508,1.358,1.0,1.9352
509,1.3462,1.0,1.8995
510,1.3225,1.0,1.8232
511,1.2887,1.0,1.7252
512,1.2413,1.0,1.6035
513,1.1838,1.0,1.4743
514,1.1212,1.0,1.3566
515,1.0598,1.0,1.2643
516,1.0152,1.0,1.2011
517,0.9826,1.0,1.1586
518,0.9533,1.0,1.1229
519,0.9257,1.0,1.0927
520,0.893,1.0,1.0608
521,0.8558,1.0,1.0226
522,0.822,1.0,0.9768
523,0.7915,1.0,0.9233
524,0.7628,1.0,0.8669
525,0.7357,1.0,0.8127
526,0.7103,1.0,0.7608
527,0.6866,1.0,0.7115
528,0.6646,1.0,0.6648
529,0.646,1.0,0.6237
530,0.6274,1.0,0.5812
531,0.6105,1.0,0.5418
532,0.5936,1.0,0.5025
533,0.5784,1.0,0.4664
534,0.5631,1.0,0.4316
535,0.5479,1.0,0.4055
536,0.5344,1.0,0.3904
537,0.5225,1.0,0.3836
538,0.5152,1.0,0.3821
539,0.5186,1.0,0.3825
540,0.5203,1.0,0.3831
541,0.5203,1.0,0.3831
542,0.5203,1.0,0.3831
543,0.5169,1.0,0.3819
544,0.5141,1.0,0.3816
545,0.5191,1.0,0.3829
546,0.5225,1.0,0.385
