datetime,pred_KW,pred_GHI,pred_OT
2019-08-01 00:00:00,612.7103,0.0,29.003407
2019-08-01 01:00:00,574.5269,0.0,28.90182
2019-08-01 02:00:00,526.5691,0.0,28.891932
2019-08-01 03:00:00,482.56348,0.0,28.805862
2019-08-01 04:00:00,458.41473,0.0,28.811005
2019-08-01 05:00:00,437.47104,0.0,28.99956
2019-08-01 06:00:00,420.12347,72.14679,29.437523
2019-08-01 07:00:00,429.60327,207.71878,30.06447
2019-08-01 08:00:00,478.3113,445.441,30.680178
2019-08-01 09:00:00,592.77136,673.57733,31.2567
2019-08-01 10:00:00,714.79834,753.22754,31.448282
2019-08-01 11:00:00,757.88324,807.6765,31.339098
2019-08-01 12:00:00,769.03503,836.40186,31.172691
2019-08-01 13:00:00,755.3773,804.2081,31.059774
2019-08-01 14:00:00,753.0811,728.2318,30.977982
2019-08-01 15:00:00,753.0919,613.15436,30.8643
2019-08-01 16:00:00,758.10156,459.4364,30.642292
2019-08-01 17:00:00,714.5035,236.97583,30.42587
2019-08-01 18:00:00,644.3394,0.0,29.907671
2019-08-01 19:00:00,602.7855,0.0,29.646093
2019-08-01 20:00:00,574.77106,0.0,29.449959
2019-08-01 21:00:00,591.03986,0.0,29.410044
2019-08-01 22:00:00,592.97406,0.0,29.372076
2019-08-01 23:00:00,601.725,0.0,29.258123
2019-08-02 00:00:00,576.824,0.0,29.059116
2019-08-02 01:00:00,549.1503,0.0,29.002583
2019-08-02 02:00:00,506.98816,0.0,28.799673
2019-08-02 03:00:00,470.01355,0.0,28.593725
2019-08-02 04:00:00,438.51947,0.0,28.694984
2019-08-02 05:00:00,427.32437,0.0,28.879705
2019-08-02 06:00:00,416.15732,70.47823,29.27984
2019-08-02 07:00:00,442.417,256.9621,29.901474
2019-08-02 08:00:00,501.78522,503.23657,30.367477
2019-08-02 09:00:00,567.1512,678.04297,30.467064
2019-08-02 10:00:00,642.61786,783.90094,30.35929
2019-08-02 11:00:00,672.7578,693.3677,30.397255
2019-08-02 12:00:00,680.6924,842.03,30.314072
2019-08-02 13:00:00,673.38,745.62787,30.411459
2019-08-02 14:00:00,676.2623,757.7446,30.350306
2019-08-02 15:00:00,676.5434,650.45575,30.464195
2019-08-02 16:00:00,678.6443,500.74557,30.346785
2019-08-02 17:00:00,650.44574,262.01935,30.171932
2019-08-02 18:00:00,600.17175,0.0,29.590832
2019-08-02 19:00:00,564.68585,0.0,29.04451
2019-08-02 20:00:00,557.3581,0.0,28.921656
2019-08-02 21:00:00,549.54004,0.0,28.80238
2019-08-02 22:00:00,547.1789,0.0,28.671595
2019-08-02 23:00:00,564.75525,0.0,28.665136
2019-08-03 00:00:00,575.6834,0.0,28.494492
2019-08-03 01:00:00,547.5576,0.0,28.470024
2019-08-03 02:00:00,505.68857,0.0,28.382208
2019-08-03 03:00:00,458.15277,0.0,28.199873
2019-08-03 04:00:00,433.29263,0.0,28.099478
2019-08-03 05:00:00,416.18573,0.0,28.4141
2019-08-03 06:00:00,415.46133,74.79217,28.971134
2019-08-03 07:00:00,428.53247,225.09183,29.803621
2019-08-03 08:00:00,485.88998,515.6045,30.238672
2019-08-03 09:00:00,519.15234,678.13403,30.38242
2019-08-03 10:00:00,514.4614,776.89545,30.552835
2019-08-03 11:00:00,503.1634,902.68866,30.769463
2019-08-03 12:00:00,523.6996,908.46014,30.794506
2019-08-03 13:00:00,539.85547,874.6464,30.65795
2019-08-03 14:00:00,554.2836,783.3177,30.626001
2019-08-03 15:00:00,549.7425,643.549,30.477343
2019-08-03 16:00:00,553.6856,477.4206,30.08122
2019-08-03 17:00:00,545.52234,271.3008,29.832098
2019-08-03 18:00:00,510.65292,0.0,29.335262
2019-08-03 19:00:00,492.41153,0.0,29.07644
2019-08-03 20:00:00,493.156,0.0,29.066275
2019-08-03 21:00:00,501.14517,0.0,29.051691
2019-08-03 22:00:00,516.72754,0.0,29.04086
2019-08-03 23:00:00,542.14087,0.0,28.973825
2019-08-04 00:00:00,551.10236,0.0,28.852434
2019-08-04 01:00:00,527.2283,0.0,28.861916
2019-08-04 02:00:00,507.16846,0.0,28.903835
2019-08-04 03:00:00,480.06796,0.0,28.901133
2019-08-04 04:00:00,460.51782,0.0,29.018192
2019-08-04 05:00:00,440.8216,0.0,29.245518
2019-08-04 06:00:00,427.44418,69.06232,29.681656
2019-08-04 07:00:00,423.73846,182.91077,30.222918
2019-08-04 08:00:00,431.04025,395.32864,30.70537
2019-08-04 09:00:00,449.11157,634.33105,31.340895
2019-08-04 10:00:00,469.41772,803.7108,31.678097
2019-08-04 11:00:00,457.46616,742.77734,31.644953
2019-08-04 12:00:00,455.81766,892.8641,31.776424
2019-08-04 13:00:00,469.55115,737.2161,31.67597
2019-08-04 14:00:00,496.03098,623.48145,31.648478
2019-08-04 15:00:00,506.6192,604.14746,31.26302
2019-08-04 16:00:00,522.01166,504.95386,30.876404
2019-08-04 17:00:00,503.51556,229.1685,30.558369
2019-08-04 18:00:00,479.98398,0.0,30.038397
2019-08-04 19:00:00,455.62833,0.0,29.648628
2019-08-04 20:00:00,480.3553,0.0,29.587578
2019-08-04 21:00:00,490.07336,0.0,29.540474
2019-08-04 22:00:00,519.12024,0.0,29.58278
2019-08-04 23:00:00,559.8095,0.0,29.529108
2019-08-05 00:00:00,583.7084,0.0,29.382523
2019-08-05 01:00:00,556.89594,0.0,29.026373
2019-08-05 02:00:00,503.68216,0.0,28.88965
2019-08-05 03:00:00,465.52383,0.0,28.787628
2019-08-05 04:00:00,447.9854,0.0,28.834614
2019-08-05 05:00:00,434.77432,0.0,29.049742
2019-08-05 06:00:00,427.81384,64.75666,29.479607
2019-08-05 07:00:00,438.01614,191.8357,30.212856
2019-08-05 08:00:00,480.629,456.92142,30.659363
2019-08-05 09:00:00,575.5784,673.0357,30.810232
2019-08-05 10:00:00,663.3716,787.2788,31.241148
2019-08-05 11:00:00,725.4691,758.3776,31.563473
2019-08-05 12:00:00,742.5354,737.89557,31.51359
2019-08-05 13:00:00,732.56134,721.8543,31.396713
2019-08-05 14:00:00,732.04663,727.5076,31.210443
2019-08-05 15:00:00,746.4241,611.29156,31.28629
2019-08-05 16:00:00,712.27435,336.24225,30.929398
2019-08-05 17:00:00,698.36316,240.19588,30.33595
2019-08-05 18:00:00,652.9433,0.0,29.867958
2019-08-05 19:00:00,628.34296,0.0,29.54742
2019-08-05 20:00:00,606.7481,0.0,29.550684
2019-08-05 21:00:00,600.4091,0.0,29.481672
2019-08-05 22:00:00,605.5949,0.0,29.380863
2019-08-05 23:00:00,621.5579,0.0,29.40496
2019-08-06 00:00:00,615.39856,0.0,29.315973
2019-08-06 01:00:00,573.3487,0.0,29.26862
2019-08-06 02:00:00,532.3178,0.0,29.127052
2019-08-06 03:00:00,498.9845,0.0,28.93881
2019-08-06 04:00:00,473.782,0.0,28.858627
2019-08-06 05:00:00,453.51007,0.0,29.116081
2019-08-06 06:00:00,457.12396,83.457954,29.574314
2019-08-06 07:00:00,468.71732,241.8299,30.070787
2019-08-06 08:00:00,520.0424,527.35095,30.334768
2019-08-06 09:00:00,598.2918,724.456,30.440506
2019-08-06 10:00:00,679.61444,770.24316,30.661661
2019-08-06 11:00:00,722.324,844.3414,30.804771
2019-08-06 12:00:00,749.0453,878.0528,30.913525
2019-08-06 13:00:00,747.29877,879.21063,30.86831
2019-08-06 14:00:00,760.33826,757.93805,30.932138
2019-08-06 15:00:00,760.6513,643.5894,30.856953
2019-08-06 16:00:00,744.20386,484.31088,30.457691
2019-08-06 17:00:00,689.16504,261.91428,30.072683
2019-08-06 18:00:00,635.437,0.0,29.444674
2019-08-06 19:00:00,578.66943,0.0,29.022856
2019-08-06 20:00:00,560.69336,0.0,28.852757
2019-08-06 21:00:00,565.148,0.0,28.81747
2019-08-06 22:00:00,580.5955,0.0,28.782839
2019-08-06 23:00:00,599.2404,0.0,28.691307
2019-08-07 00:00:00,588.9761,0.0,28.623041
2019-08-07 01:00:00,565.326,0.0,28.651678
2019-08-07 02:00:00,527.4149,0.0,28.533054
2019-08-07 03:00:00,503.50916,0.0,28.433374
2019-08-07 04:00:00,471.71252,0.0,28.512482
2019-08-07 05:00:00,460.61026,0.0,28.75182
2019-08-07 06:00:00,451.51367,100.87192,29.265543
2019-08-07 07:00:00,465.2988,267.93832,29.951696
2019-08-07 08:00:00,488.86642,488.6087,30.573137
2019-08-07 09:00:00,559.3529,695.5096,30.953407
2019-08-07 10:00:00,641.86316,498.894,31.160528
2019-08-07 11:00:00,684.3727,455.8552,31.269688
2019-08-07 12:00:00,697.4927,501.3487,31.243229
2019-08-07 13:00:00,685.22174,377.94183,30.909489
2019-08-07 14:00:00,669.09424,398.69125,30.937008
2019-08-07 15:00:00,674.3003,369.9257,30.57348
2019-08-07 16:00:00,662.1685,336.41437,30.233768
2019-08-07 17:00:00,671.7046,251.80302,29.90913
2019-08-07 18:00:00,621.4441,0.0,29.64368
2019-08-07 19:00:00,554.2937,0.0,29.271288
2019-08-07 20:00:00,543.38763,0.0,29.355488
2019-08-07 21:00:00,546.8112,0.0,29.231821
2019-08-07 22:00:00,562.28253,0.0,29.19304
2019-08-07 23:00:00,582.2903,0.0,29.156128
2019-08-08 00:00:00,601.9199,0.0,29.181005
2019-08-08 01:00:00,557.9454,0.0,29.503832
2019-08-08 02:00:00,501.93698,0.0,29.574625
2019-08-08 03:00:00,466.03424,0.0,29.587517
2019-08-08 04:00:00,445.18906,0.0,29.205795
2019-08-08 05:00:00,429.8285,0.0,29.444014
2019-08-08 06:00:00,439.27313,36.735245,29.725908
2019-08-08 07:00:00,443.88727,202.7025,30.272005
2019-08-08 08:00:00,476.78598,348.4328,30.42555
