datetime,ghi,temperature,kw
2019-08-01 00:00:00,0.0,28.85675789749444,599.2440809435866
2019-08-01 01:00:00,0.0,28.684574602090144,566.3686942468522
2019-08-01 02:00:00,0.0,28.63940704296766,523.9596859138486
2019-08-01 03:00:00,0.0,28.487474120931207,488.0380249233331
2019-08-01 04:00:00,0.0,28.48510891054322,469.4110857707708
2019-08-01 05:00:00,0.0,28.76362433970312,442.661512422594
2019-08-01 06:00:00,86.43984574000534,29.245229490706933,425.8022362586094
2019-08-01 07:00:00,219.8939218985526,29.922129534475538,438.6434375734748
2019-08-01 08:00:00,454.28340967897145,30.5163007709508,482.0283448370983
2019-08-01 09:00:00,703.0463823531577,31.339894284077943,585.7869201606796
2019-08-01 10:00:00,787.7724014409894,31.46829918802998,701.7967747204727
2019-08-01 11:00:00,841.9013249063619,31.263584650856483,747.1581800647057
2019-08-01 12:00:00,859.4221210467335,31.167410084739387,754.537924367207
2019-08-01 13:00:00,799.4542385656448,31.04055715956768,735.6436066568078
2019-08-01 14:00:00,692.4129026656726,30.96105458295615,731.0186506798425
2019-08-01 15:00:00,572.7054248837392,30.868539311890657,734.437651182261
2019-08-01 16:00:00,421.8765809070137,30.515851886878,739.2516258905948
2019-08-01 17:00:00,209.66330509275343,30.210425495018967,702.1614164564717
2019-08-01 18:00:00,69.31368391644706,29.694152783185835,634.8835597860003
2019-08-01 19:00:00,0.0,29.434335254247728,594.2812081490321
2019-08-01 20:00:00,0.0,29.387233736432748,573.3021361083054
2019-08-01 21:00:00,0.0,29.265714687791267,589.4911564935263
2019-08-01 22:00:00,0.0,29.257646309681004,592.2060459574698
2019-08-01 23:00:00,0.0,29.186679451572715,596.5281860608593
2019-08-02 00:00:00,0.0,29.21815538732055,572.8347494439367
2019-08-02 01:00:00,0.0,29.010857624477012,559.7834414779898
2019-08-02 02:00:00,0.0,28.716225543302485,517.6503545281422
2019-08-02 03:00:00,0.0,28.65244841063333,484.91627722364586
2019-08-02 04:00:00,0.0,28.72730625652683,455.40668145802886
2019-08-02 05:00:00,0.0,28.782227321706877,444.40240243965854
2019-08-02 06:00:00,84.82069380743648,29.36748382596105,426.5251545425711
2019-08-02 07:00:00,258.86318424602723,30.025172158737305,447.0173858047396
2019-08-02 08:00:00,497.5955746128487,30.339663899573136,506.96454190956433
2019-08-02 09:00:00,709.0773769368041,30.436508825605117,566.3100214073065
2019-08-02 10:00:00,831.6277894370828,30.39011787611683,636.2682801988773
2019-08-02 11:00:00,736.6424415929055,30.29486447812269,667.9236983967645
2019-08-02 12:00:00,884.6093983614023,30.455747232346283,671.7135505747292
2019-08-02 13:00:00,749.7042894187332,30.48888621437264,661.2383731913732
2019-08-02 14:00:00,734.7023679758245,30.588657126306455,668.1583897549475
2019-08-02 15:00:00,626.3671189539241,30.62961928104648,668.1614060112992
2019-08-02 16:00:00,487.4491647299928,30.431898041333127,668.4154812522125
2019-08-02 17:00:00,245.25725605634096,30.052703385625136,644.8673461315228
2019-08-02 18:00:00,89.87817644909846,29.54242667080847,596.7160219465998
2019-08-02 19:00:00,0.0,29.097383819646108,569.8186594299784
2019-08-02 20:00:00,0.0,29.107534136587407,560.6538014694925
2019-08-02 21:00:00,0.0,28.897688083251303,563.3007438448874
2019-08-02 22:00:00,0.0,28.792347647127897,557.0781700275597
2019-08-02 23:00:00,0.0,28.87298265081294,571.4891516502089
2019-08-03 00:00:00,0.0,28.692024034320298,579.8085965727669
2019-08-03 01:00:00,0.0,28.66098824885089,566.9634696889734
2019-08-03 02:00:00,0.0,28.530221759859472,524.2574335711374
2019-08-03 03:00:00,0.0,28.357892296990947,478.9392621587092
2019-08-03 04:00:00,0.0,28.21881453153269,447.449383206473
2019-08-03 05:00:00,0.0,28.338427470750503,426.85632174729506
2019-08-03 06:00:00,74.15638953321447,28.976041424354865,419.9046640631693
2019-08-03 07:00:00,228.0389266517301,29.597318403622527,431.6402152127496
2019-08-03 08:00:00,510.33348488945734,30.035210749026124,486.6348410294803
2019-08-03 09:00:00,714.0121276629609,30.25887992701811,518.420333434335
2019-08-03 10:00:00,792.9278461042702,30.673849852342997,515.547717050475
2019-08-03 11:00:00,928.2319677257128,30.70615895911582,512.5617951446218
2019-08-03 12:00:00,921.894549040688,30.79810933495314,530.7086098639579
2019-08-03 13:00:00,882.1369404243003,30.51703309136912,546.2904700436924
2019-08-03 14:00:00,772.4955923499815,30.518386335130437,556.3047220569232
2019-08-03 15:00:00,624.756800290065,30.521303752026483,534.7463846373737
2019-08-03 16:00:00,448.6110121252355,30.200145654259305,546.3167162792619
2019-08-03 17:00:00,248.37739007542848,29.884508962418405,547.02401730454
2019-08-03 18:00:00,92.56898605276535,29.5489845968588,511.33272936156703
2019-08-03 19:00:00,0.0,29.390897975141534,500.76449206047016
2019-08-03 20:00:00,0.0,29.383162469948697,501.5984869416944
2019-08-03 21:00:00,0.0,29.3039060874652,505.0973609433458
2019-08-03 22:00:00,0.0,29.301418439167488,520.5497771510488
2019-08-03 23:00:00,0.0,29.34011804680049,544.359541090905
2019-08-04 00:00:00,0.0,29.128403620623935,555.3636870391422
2019-08-04 01:00:00,0.0,29.164233600047055,541.7506272024532
2019-08-04 02:00:00,0.0,29.120220549666875,520.4970019058769
2019-08-04 03:00:00,0.0,29.04852697395174,486.49663291062336
2019-08-04 04:00:00,0.0,29.03188860131506,462.82751486053576
2019-08-04 05:00:00,0.0,29.254248698883295,436.97301558470355
2019-08-04 06:00:00,108.44648037947674,29.679597338111627,426.6519112371911
2019-08-04 07:00:00,227.63831418685575,30.16136760726556,422.5413748238813
2019-08-04 08:00:00,410.40544096997183,30.67811622849746,430.0046649916514
2019-08-04 09:00:00,641.1458970264446,31.32969716718192,454.99925767421905
2019-08-04 10:00:00,828.4972912534952,31.651149247763293,483.8732883055088
2019-08-04 11:00:00,768.1596055853113,31.68865051289358,470.38634568752207
2019-08-04 12:00:00,937.220530504479,31.860191462440397,474.3323519703574
2019-08-04 13:00:00,773.8113054279629,31.61622329845154,478.1643652021783
2019-08-04 14:00:00,628.2609595181393,31.571748840067013,512.4274308120071
2019-08-04 15:00:00,623.4878407695182,31.28509285540188,513.1241610785825
2019-08-04 16:00:00,521.8742346580823,31.035362694170193,514.9748505892707
2019-08-04 17:00:00,239.8202413848366,30.67316762765086,508.34269568100905
2019-08-04 18:00:00,90.76221518662116,30.26575325839713,479.60969906070954
2019-08-04 19:00:00,0.0,29.758606208158504,460.1279358546909
2019-08-04 20:00:00,0.0,29.72981467826452,477.1031013190873
2019-08-04 21:00:00,0.0,29.606148434517102,490.4678615282814
2019-08-04 22:00:00,0.0,29.55987316660705,516.6889782619506
2019-08-04 23:00:00,0.0,29.7232195099967,552.907715090402
2019-08-05 00:00:00,0.0,29.59586958248888,571.0177839710232
2019-08-05 01:00:00,0.0,29.25258466387334,554.931401318787
2019-08-05 02:00:00,0.0,29.073731056611944,516.3714567525135
2019-08-05 03:00:00,0.0,29.150378176830863,478.39707529393434
2019-08-05 04:00:00,0.0,29.114121724580873,457.42308579301584
2019-08-05 05:00:00,0.0,29.029154099735024,438.25702408513393
2019-08-05 06:00:00,77.68429295499571,29.44664693811223,432.3552675732844
2019-08-05 07:00:00,202.5013727257706,30.09584272699138,439.9972561443179
2019-08-05 08:00:00,452.10822108642213,30.402332664300424,479.1243922850754
2019-08-05 09:00:00,710.4370573418819,30.80339344533433,562.3236542138052
2019-08-05 10:00:00,803.0515374935987,31.362541507239783,653.5263823375124
2019-08-05 11:00:00,786.7021215761026,31.354802047121183,728.8578430720215
2019-08-05 12:00:00,766.0446424331508,31.45537514982827,744.5130415288936
2019-08-05 13:00:00,741.5506159681433,31.44143865063418,728.6233587118234
2019-08-05 14:00:00,714.2033671650802,31.28001538989121,721.449237336195
2019-08-05 15:00:00,603.9405366357473,31.300139040846428,750.4430163017582
2019-08-05 16:00:00,341.7661820089011,30.887323890901836,711.8244963882935
2019-08-05 17:00:00,240.3696492660453,30.488761963788612,701.0066190553396
2019-08-05 18:00:00,104.89459547514106,29.955652144299783,647.8355198083657
2019-08-05 19:00:00,0.0,29.618169101761733,614.4022550603213
2019-08-05 20:00:00,0.0,29.61610660798231,598.4261210134082
2019-08-05 21:00:00,0.0,29.528596954609668,592.2473716266011
2019-08-05 22:00:00,0.0,29.49699973447212,607.6639827275027
2019-08-05 23:00:00,0.0,29.544141460698903,615.9547251616167
2019-08-06 00:00:00,0.0,29.491380773710635,616.73435350066
2019-08-06 01:00:00,0.0,29.33111927240718,589.771313480539
2019-08-06 02:00:00,0.0,29.08062350346542,548.0634928015224
2019-08-06 03:00:00,0.0,28.841510010836565,519.8404592815649
2019-08-06 04:00:00,0.0,28.794882754534623,492.5910121366145
2019-08-06 05:00:00,0.0,29.09801463030348,471.9792654129054
2019-08-06 06:00:00,107.7363896761224,29.49446627495112,473.35131459199147
2019-08-06 07:00:00,269.7137602655292,29.987233544734327,474.6170037707568
2019-08-06 08:00:00,542.7708397234728,30.47578684112928,516.8104287850109
2019-08-06 09:00:00,787.3485270145823,30.78807733620724,593.4908602714843
2019-08-06 10:00:00,839.217113463551,30.98028903477157,669.8098788208843
2019-08-06 11:00:00,909.4051337687544,31.22470410537035,711.9596512868729
2019-08-06 12:00:00,936.2052404163784,31.28981338886348,741.6037735643295
2019-08-06 13:00:00,919.6818535012771,31.289334842847545,740.1926535155907
2019-08-06 14:00:00,774.0227527545137,31.054458723584304,748.4138741979137
2019-08-06 15:00:00,655.1429078547106,30.84174699696407,745.4288597564409
2019-08-06 16:00:00,488.0742907169877,30.560748204009357,722.4025221990119
2019-08-06 17:00:00,252.0388258825152,29.971207196857694,677.6009281194124
2019-08-06 18:00:00,100.79934972796828,29.55655893882727,627.899196420258
2019-08-06 19:00:00,0.0,29.152540532485517,578.7813986437649
2019-08-06 20:00:00,0.0,29.127787640938138,563.4757199808149
2019-08-06 21:00:00,0.0,29.005547477501295,574.9135895461238
2019-08-06 22:00:00,0.0,28.877486981666785,587.8504756795163
2019-08-06 23:00:00,0.0,28.89786968025873,601.2426243095896
2019-08-07 00:00:00,0.0,28.771125515545187,596.7522392011748
2019-08-07 01:00:00,0.0,28.75191215666711,579.0996950094982
2019-08-07 02:00:00,0.0,28.668083385649133,537.902161327224
2019-08-07 03:00:00,0.0,28.60810528874147,511.7758649182655
2019-08-07 04:00:00,0.0,28.600352810325607,485.056285485693
2019-08-07 05:00:00,0.0,28.775630505553327,469.2767514713459
2019-08-07 06:00:00,106.60312110394533,29.242829509930047,455.75677419280225
2019-08-07 07:00:00,261.38613878077103,29.9757636009006,467.1306555060242
2019-08-07 08:00:00,469.4458302365311,30.51616531474381,493.452327055455
2019-08-07 09:00:00,681.8394034752498,30.969552729664752,567.8662950965746
2019-08-07 10:00:00,494.8787857076211,31.029511711097953,657.6008567447358
2019-08-07 11:00:00,455.001797837509,31.03575555012818,696.2121317287285
2019-08-07 12:00:00,491.74886926443384,31.034947426966284,697.0334701617322
2019-08-07 13:00:00,386.979520497829,30.80239153081061,673.4641916754404
2019-08-07 14:00:00,375.9988489540707,30.741681113484617,675.6861080455226
2019-08-07 15:00:00,350.38858513255286,30.48632935487427,674.4782156612597
2019-08-07 16:00:00,328.1782112268346,30.18202550277438,657.8558043342998
2019-08-07 17:00:00,256.1717316661284,29.87179123951007,671.2860701647382
2019-08-07 18:00:00,91.438434820616,29.3641303785009,609.2492841877627
2019-08-07 19:00:00,0.0,29.190012135672667,560.4418059617984
2019-08-07 20:00:00,0.0,29.196897002251788,546.8739881221875
2019-08-07 21:00:00,0.0,29.200035565412772,556.9437211399645
2019-08-07 22:00:00,0.0,29.29650213688119,569.6595740857857
2019-08-07 23:00:00,0.0,29.291028849218225,589.0836809602204
2019-08-08 00:00:00,0.0,29.281535709105967,611.7246104480923
2019-08-08 01:00:00,0.0,29.324851703822443,585.9523780856937
2019-08-08 02:00:00,0.0,29.34736511866302,531.4051654759835
2019-08-08 03:00:00,0.0,29.380391385305455,489.37092191212946
2019-08-08 04:00:00,0.0,29.173443962968076,469.95508386791374
2019-08-08 05:00:00,0.0,29.316839353826992,459.4345369619353
2019-08-08 06:00:00,81.6471927611005,29.70668923866389,465.5470174224287
2019-08-08 07:00:00,244.62485831434233,30.156415381070357,449.3514063692238
2019-08-08 08:00:00,432.0096413785785,30.413900492546503,472.55782478074406
2019-08-08 09:00:00,345.1191346597714,30.37233718909225,534.1412426622401
2019-08-08 10:00:00,586.5151765389405,30.806976278488065,603.3567095151011
2019-08-08 11:00:00,560.4083207409781,30.685746928157887,674.3226418900254
2019-08-08 12:00:00,585.9469692574276,30.706502708079057,719.8337511340633
