date,time,pred,true,datetime
2019-01-23,03:00:00,593.6219,620.73,2019-01-23 03:00:00
2019-01-23,03:00:00,459.06342,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,464.21555,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,463.77814,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,468.9774,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,472.19028,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,485.54758,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,492.39343,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,496.18814,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,506.4193,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,514.03894,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,518.9193,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,486.8367,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,524.2382,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,527.3074,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,535.52124,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,523.01483,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,534.8218,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,536.473,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,553.14294,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,492.01254,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,486.06958,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,524.67456,484.71,2019-01-23 03:00:00
2019-01-23,03:00:00,522.4363,484.71,2019-01-23 03:00:00
2019-01-23,22:00:00,691.99225,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,689.8305,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,685.84503,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,684.14325,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,666.2181,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,728.1578,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,714.0177,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,711.641,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,718.97614,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,688.0132,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,696.20605,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,684.3386,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,675.2419,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,679.9725,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,671.2916,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,659.0914,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,700.8016,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,702.1995,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,746.9461,716.86,2019-01-23 22:00:00
2019-01-23,22:00:00,695.0402,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,689.6843,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,681.9189,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,679.4346,713.83,2019-01-23 22:00:00
2019-01-23,22:00:00,699.83563,713.83,2019-01-23 22:00:00
2019-02-06,03:00:00,467.44476,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,474.06918,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,475.83633,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,491.00903,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,507.7726,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,500.0642,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,485.22086,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,484.4971,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,481.83667,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,472.91412,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,464.57324,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,459.10013,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,458.8018,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,455.41962,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,461.34775,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,572.1464,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,458.5139,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,446.46158,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,439.1038,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,438.58145,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,441.68817,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,445.3992,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,465.42307,443.69,2019-02-06 03:00:00
2019-02-06,03:00:00,528.39166,532.02,2019-02-06 03:00:00
2019-02-06,03:00:00,578.26483,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,662.6711,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,605.0865,615.57,2019-02-06 03:00:00
2019-02-06,03:00:00,628.09076,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,603.9419,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,588.69135,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,584.8864,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,654.27563,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,566.4067,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,574.94366,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,575.8222,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,591.35645,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,583.5494,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,599.44135,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,608.2256,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,627.3785,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,646.47565,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,660.49,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,672.0331,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,675.33136,615.14,2019-02-06 03:00:00
2019-02-06,03:00:00,671.79517,615.14,2019-02-06 03:00:00
