date,time,pred,true,datetime
2019-01-23,03:00:00,30.723085,30.5,2019-01-23 03:00:00
2019-01-23,03:00:00,30.27678,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.356663,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.318987,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.374224,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.385317,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.465918,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.207123,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.236605,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.444109,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.519037,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.572842,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.515747,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.820059,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.7656,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.818111,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.690546,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.97529,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.756361,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.956795,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,29.878416,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,29.722923,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,29.405863,30.0,2019-01-23 03:00:00
2019-01-23,03:00:00,30.701616,30.0,2019-01-23 03:00:00
2019-01-23,22:00:00,30.377455,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.17955,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.188929,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.327688,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,29.92825,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,29.615799,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.657412,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.222486,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,29.825638,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.387672,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.776178,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.463614,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.072802,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,29.911741,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.200796,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,29.860722,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.249252,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.382423,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,29.617672,29.2,2019-01-23 22:00:00
2019-01-23,22:00:00,30.200882,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.090294,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.034176,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,29.829918,28.9,2019-01-23 22:00:00
2019-01-23,22:00:00,30.248228,28.9,2019-01-23 22:00:00
2019-02-06,03:00:00,31.347265,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.283663,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.354408,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.668974,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,32.057175,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,32.146164,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.833954,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.920803,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.768057,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.607744,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.202877,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.136147,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.0699,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,30.940308,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,30.965633,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.85674,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,30.995316,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,30.82946,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,30.763866,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,30.71534,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,30.782557,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,30.766468,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.233454,29.4,2019-02-06 03:00:00
2019-02-06,03:00:00,31.067236,30.5,2019-02-06 03:00:00
2019-02-06,03:00:00,28.290468,28.9,2019-02-06 03:00:00
2019-02-06,03:00:00,29.019001,28.9,2019-02-06 03:00:00
2019-02-06,03:00:00,27.56944,28.3,2019-02-06 03:00:00
2019-02-06,03:00:00,28.612663,28.9,2019-02-06 03:00:00
