timestamp,TEMPERATURE_true,TEMPERATURE_pred
2019-08-01 01:00:00,29.0,29.056526
2019-08-01 02:00:00,28.9,28.8288
2019-08-01 03:00:00,28.8,28.739597
2019-08-01 04:00:00,28.7,28.69335
2019-08-01 05:00:00,28.7,28.683744
2019-08-01 06:00:00,28.7,28.825794
2019-08-01 07:00:00,29.2,28.93891
2019-08-01 08:00:00,29.8,29.748499
2019-08-01 09:00:00,30.6,30.370228
2019-08-01 10:00:00,30.9,31.175447
2019-08-01 11:00:00,30.9,31.099218
2019-08-01 12:00:00,31.0,30.982168
2019-08-01 13:00:00,31.1,31.108047
2019-08-01 14:00:00,31.1,31.143036
2019-08-01 15:00:00,31.0,31.01249
2019-08-01 16:00:00,30.8,30.765846
2019-08-01 17:00:00,30.6,30.424332
2019-08-01 18:00:00,30.2,30.15254
2019-08-01 19:00:00,29.8,29.732141
2019-08-01 20:00:00,29.6,29.453075
2019-08-01 21:00:00,29.5,29.407673
2019-08-01 22:00:00,29.5,29.364813
2019-08-01 23:00:00,29.3,29.388214
2019-08-02 00:00:00,29.2,29.18555
2019-08-02 01:00:00,29.0,29.05997
2019-08-02 02:00:00,28.8,28.831684
2019-08-02 03:00:00,28.7,28.62976
2019-08-02 04:00:00,28.7,28.587627
2019-08-02 05:00:00,28.6,28.708988
2019-08-02 06:00:00,28.6,28.692871
2019-08-02 07:00:00,29.1,28.82858
2019-08-02 08:00:00,29.5,29.621023
2019-08-02 09:00:00,29.8,29.956074
2019-08-02 10:00:00,29.9,30.181011
2019-08-02 11:00:00,30.0,30.144413
2019-08-02 12:00:00,30.2,30.25674
2019-08-02 13:00:00,30.4,30.407978
2019-08-02 14:00:00,30.5,30.58367
2019-08-02 15:00:00,30.6,30.506222
2019-08-02 16:00:00,30.5,30.509537
2019-08-02 17:00:00,30.3,30.236134
2019-08-02 18:00:00,29.8,29.932268
2019-08-02 19:00:00,29.1,29.370005
2019-08-02 20:00:00,28.9,28.767859
2019-08-02 21:00:00,28.7,28.755959
2019-08-02 22:00:00,28.6,28.63931
2019-08-02 23:00:00,28.6,28.564468
2019-08-03 00:00:00,28.5,28.542149
2019-08-03 01:00:00,28.4,28.408663
2019-08-03 02:00:00,28.3,28.274858
2019-08-03 03:00:00,28.2,28.174595
2019-08-03 04:00:00,28.1,28.126425
2019-08-03 05:00:00,28.1,28.126787
2019-08-03 06:00:00,28.2,28.27364
2019-08-03 07:00:00,28.8,28.518957
2019-08-03 08:00:00,29.2,29.415796
2019-08-03 09:00:00,29.6,29.674498
2019-08-03 10:00:00,30.0,30.067364
2019-08-03 11:00:00,30.3,30.448965
2019-08-03 12:00:00,30.5,30.66194
2019-08-03 13:00:00,30.5,30.760546
2019-08-03 14:00:00,30.6,30.594542
2019-08-03 15:00:00,30.6,30.630613
2019-08-03 16:00:00,30.4,30.45489
2019-08-03 17:00:00,30.2,30.105192
2019-08-03 18:00:00,29.8,29.861172
2019-08-03 19:00:00,29.4,29.450022
2019-08-03 20:00:00,29.3,29.173336
2019-08-03 21:00:00,29.2,29.200909
2019-08-03 22:00:00,29.1,29.144358
2019-08-03 23:00:00,29.1,29.049355
2019-08-04 00:00:00,29.1,29.015383
2019-08-04 01:00:00,29.1,28.977346
2019-08-04 02:00:00,29.1,28.957724
2019-08-04 03:00:00,29.1,28.957579
2019-08-04 04:00:00,29.1,28.99462
2019-08-04 05:00:00,29.1,29.059746
2019-08-04 06:00:00,29.1,29.151852
2019-08-04 07:00:00,29.5,29.240053
2019-08-04 08:00:00,29.9,29.864656
2019-08-04 09:00:00,30.5,30.32106
2019-08-04 10:00:00,30.9,31.012321
2019-08-04 11:00:00,31.2,31.279259
2019-08-04 12:00:00,31.5,31.510754
2019-08-04 13:00:00,31.6,31.69301
2019-08-04 14:00:00,31.6,31.661913
2019-08-04 15:00:00,31.4,31.5102
2019-08-04 16:00:00,31.3,31.114733
2019-08-04 17:00:00,31.0,30.97971
2019-08-04 18:00:00,30.5,30.62199
2019-08-04 19:00:00,29.9,30.123325
